Date,Open,High,Low,Close,Volume
1980-09-30,182.3,195.9,182.3,187.8,0
1980-10-31,189.6,199.4,189.6,192.8,0
1980-11-30,193.1,208.1,193.1,208.1,0
1980-12-31,204.9,206.2,188.8,202.3,0
1981-01-31,203.6,204.2,195.9,197.8,0
1981-02-28,193.1,198,192.3,198,0
1981-03-31,199.1,210.2,198.2,210.2,0
1981-04-30,211.3,219.9,211.3,216.7,0
1981-05-31,216.7,223.5,211.6,223.5,0
1981-06-30,223,223,215.8,215.8,0
1981-07-31,214.6,214.6,206.2,211.6,0
1981-08-31,210.4,212.4,195.8,195.8,0
1981-09-30,195.2,195.4,175,180,0
1981-10-31,181.1,195.2,181.1,195.2,0
1981-11-30,197.3,201.4,197.2,201.4,0
1981-12-31,201.1,201.1,193.9,195.8,0
1982-01-31,195.5,195.5,183.4,188.4,0
1982-02-28,186.8,188.2,177.5,179.4,0
1982-03-31,180.1,180.1,167.9,175.6,0
1982-04-30,177.3,185.8,177.3,184.7,0
1982-05-31,185,188.2,178.4,178.5,0
1982-06-30,177.4,177.8,168,171.3,0
1982-07-31,170.6,172.1,166.8,167.4,0
1982-08-31,168.4,179,159.7,179,0
1982-09-30,177.3,189,177.3,187.6,0
1982-10-31,188.7,216.8,188,212.6,0
1982-11-30,214.5,232.6,214.5,232.3,0
1982-12-31,235.6,240.7,225.6,232.4,0
1983-01-31,230.6,248.4,230.6,248.4,0
1983-02-28,248.1,262.4,248.1,260.7,0
1983-03-31,261.8,270.9,261.8,270.8,0
1983-04-30,268.7,293.1,266.5,293.1,0
1983-05-31,290.5,312,289.6,308.7,0
1983-06-30,307.9,328.9,307.9,318.7,0
1983-07-31,318.7,320.8,304,304,0
1983-08-31,302.1,303.9,289.4,292.4,0
1983-09-30,294.4,304.6,294.4,296.6,0
1983-10-31,294.6,297.4,274.5,274.5,0
1983-11-30,273,285.7,269.6,285.7,0
1983-12-31,286.1,286.1,274.5,278.6,0
1984-01-31,277.6,287.9,268.4,268.4,0
1984-02-29,266.4,266.4,247.1,251.1,0
1984-03-31,253.5,255.5,249,250.8,0
1984-04-30,249.8,249.8,241.8,247.4,0
1984-05-31,250.3,253,231.9,232.8,0
1984-06-30,235.9,241.1,235.6,239.4,0
1984-07-31,237.9,238.3,225.3,229.7,0
1984-08-31,233.4,254.8,233.4,254.6,0
1984-09-30,251.4,255.6,249.9,249.9,0
1984-10-31,247.9,252.2,243.3,247,847574100
1984-11-30,247.1,252.3,242.4,242.4,1127615700
1984-12-31,241.9,250.2,237.7,247.1,1193069100
1985-01-31,247.1,278.9,245.8,278.7,1657315800
1985-02-28,277.9,289.3,277.9,284.2,1620850500
1985-03-31,285.1,287.8,275.6,279.2,1498518300
1985-04-30,279.5,284.8,276.2,280.6,1400998500
1985-05-31,280.5,294.8,278.8,290.8,1556141100
